file,url_index_id,source_domain,dest_category,recovery_reason,source_url
url_000016--dev-docs.kicad.org-en-contribute-index.html.md,url_000016,dev-docs.kicad.org,01_kicad_core,kicad_docs,https://dev-docs.kicad.org/en/contribute/index.html
url_000052--docs.espressif.com-projects-esp-idf-en-latest-esp32-api-reference-index.html.md,url_000052,docs.espressif.com,05_esp32_espressif,espressif,https://docs.espressif.com/projects/esp-idf/en/latest/esp32/api-reference/index.html
url_000060--docs.espressif.com-projects-esp-idf-en-latest-esp32s3-api-guides-wifi.html.md,url_000060,docs.espressif.com,05_esp32_espressif,espressif,https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/api-guides/wifi.html
url_000061--docs.espressif.com-projects-esp-idf-en-latest-esp32s3-api-reference-peripherals-adc_oneshot.html.md,url_000061,docs.espressif.com,05_esp32_espressif,espressif,https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/api-reference/peripherals/adc_oneshot.html
url_000069--docs.espressif.com-projects-esp-idf-en-latest-esp32s3-api-reference-peripherals-usb_device.html.md,url_000069,docs.espressif.com,05_esp32_espressif,espressif,https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/api-reference/peripherals/usb_device.html
url_000074--docs.espressif.com-projects-esp-idf-en-latest-esp32s3-hw-reference-index.html.md,url_000074,docs.espressif.com,05_esp32_espressif,espressif,https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/hw-reference/index.html
url_000076--docs.espressif.com-projects-esp-iot-solution-en-latest-usb-usb_overview-usb_overview.html.md,url_000076,docs.espressif.com,05_esp32_espressif,espressif,https://docs.espressif.com/projects/esp-iot-solution/en/latest/usb/usb_overview/usb_overview.html
url_000720--docs.kicad.org-9.0-en-eeschema-eeschema.html.md,url_000720,docs.kicad.org,01_kicad_core,kicad_docs,https://docs.kicad.org/9.0/en/eeschema/eeschema.html
url_000731--docs.kicad.org-9.0-en-pcbnew-pcbnew.html.md,url_000731,docs.kicad.org,01_kicad_core,kicad_docs,https://docs.kicad.org/9.0/en/pcbnew/pcbnew.html
url_000950--docs.kicad.org-doxygen-python-9.0.md,url_000950,docs.kicad.org,02_kicad_python_api,kicad_doxygen,https://docs.kicad.org/doxygen-python-9.0/
url_001065--docs.oshpark.com-troubleshooting.md,url_001065,docs.oshpark.com,10_dfm_fabrication_assembly,fabricator_dfm,https://docs.oshpark.com/troubleshooting/
url_001674--electronics.stackexchange.com-questions-tagged-differential.md,url_001674,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/differential
url_001675--electronics.stackexchange.com-questions-tagged-emc.md,url_001675,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/emc
url_001676--electronics.stackexchange.com-questions-tagged-emi.md,url_001676,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/emi
url_001679--electronics.stackexchange.com-questions-tagged-grounding.md,url_001679,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/grounding
url_001680--electronics.stackexchange.com-questions-tagged-ground-plane.md,url_001680,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/ground-plane
url_001681--electronics.stackexchange.com-questions-tagged-kicad.md,url_001681,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/kicad
url_001682--electronics.stackexchange.com-questions-tagged-pcb.md,url_001682,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/pcb
url_001683--electronics.stackexchange.com-questions-tagged-pcb-design.md,url_001683,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/pcb-design
url_001684--electronics.stackexchange.com-questions-tagged-pcb-layout.md,url_001684,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/pcb-layout
url_001685--electronics.stackexchange.com-questions-tagged-rf.md,url_001685,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/rf
url_001686--electronics.stackexchange.com-questions-tagged-signal-integrity.md,url_001686,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/signal-integrity
url_001688--electronics.stackexchange.com-questions-tagged-usb.md,url_001688,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/usb
url_001689--electronics.stackexchange.com-questions-tagged-usb-c.md,url_001689,electronics.stackexchange.com,12_forums_peer_review,stackexchange_tag,https://electronics.stackexchange.com/questions/tagged/usb-c
url_001986--forum.kicad.info-c-pcbnew-20.md,url_001986,forum.kicad.info,12_forums_peer_review,kicad_forum_index,https://forum.kicad.info/c/pcbnew/20
url_002902--github.com-atopile-kicad-python.md,url_002902,github.com,02_kicad_python_api,kicad_source_or_python,https://github.com/atopile/kicad-python
url_002904--github.com-espressif-esp-dev-kits.md,url_002904,github.com,05_esp32_espressif,espressif,https://github.com/espressif/esp-dev-kits
url_002905--github.com-espressif-esp-dev-kits-tree-master-docs.md,url_002905,github.com,05_esp32_espressif,espressif,https://github.com/espressif/esp-dev-kits/tree/master/docs
url_002908--github.com-espressif-esp-hardware-design-guidelines.md,url_002908,github.com,05_esp32_espressif,espressif,https://github.com/espressif/esp-hardware-design-guidelines
url_002909--github.com-espressif-esp-idf.md,url_002909,github.com,05_esp32_espressif,espressif,https://github.com/espressif/esp-idf
url_002910--github.com-espressif-esp-idf-tree-master-examples-peripherals-uart.md,url_002910,github.com,05_esp32_espressif,espressif,https://github.com/espressif/esp-idf/tree/master/examples/peripherals/uart
url_002911--github.com-espressif-esp-idf-tree-master-examples-peripherals-usb-device.md,url_002911,github.com,05_esp32_espressif,espressif,https://github.com/espressif/esp-idf/tree/master/examples/peripherals/usb/device
url_002912--github.com-espressif-esp-idf-tree-master-examples-system-deep_sleep.md,url_002912,github.com,05_esp32_espressif,espressif,https://github.com/espressif/esp-idf/tree/master/examples/system/deep_sleep
url_002913--github.com-espressif-esp-idf-tree-master-examples-wifi.md,url_002913,github.com,05_esp32_espressif,espressif,https://github.com/espressif/esp-idf/tree/master/examples/wifi
url_002914--github.com-KiCad-kicad-source-mirror.md,url_002914,github.com,02_kicad_python_api,kicad_source_or_python,https://github.com/KiCad/kicad-source-mirror
url_002915--github.com-KiCad-kicad-source-mirror-tree-master-pcbnew.md,url_002915,github.com,02_kicad_python_api,kicad_source_or_python,https://github.com/KiCad/kicad-source-mirror/tree/master/pcbnew
url_002916--github.com-KiCad-kicad-source-mirror-tree-master-pcbnew-python.md,url_002916,github.com,02_kicad_python_api,kicad_source_or_python,https://github.com/KiCad/kicad-source-mirror/tree/master/pcbnew/python
url_002920--gitlab.com-kicad-code-kicad.md,url_002920,gitlab.com,02_kicad_python_api,kicad_source_or_python,https://gitlab.com/kicad/code/kicad
url_002924--gitlab.com-kicad-code-kicad-issues.md,url_002924,gitlab.com,02_kicad_python_api,kicad_source_or_python,https://gitlab.com/kicad/code/kicad/-/issues/?search=router
url_002925--gitlab.com-kicad-code-kicad-tree-master-pcbnew.md,url_002925,gitlab.com,02_kicad_python_api,kicad_source_or_python,https://gitlab.com/kicad/code/kicad/-/tree/master/pcbnew
url_002926--gitlab.com-kicad-code-kicad-tree-master-pcbnew-swig.md,url_002926,gitlab.com,02_kicad_python_api,kicad_source_or_python,https://gitlab.com/kicad/code/kicad/-/tree/master/pcbnew/swig
url_002927--gitlab.com-kicad-code-kicad-tree-master-qa.md,url_002927,gitlab.com,02_kicad_python_api,kicad_source_or_python,https://gitlab.com/kicad/code/kicad/-/tree/master/qa
url_002928--gitlab.com-kicad-code-kicad-tree-master-tools.md,url_002928,gitlab.com,02_kicad_python_api,kicad_source_or_python,https://gitlab.com/kicad/code/kicad/-/tree/master/tools
url_002929--gitlab.com-kicad-code-kicad-python-blob-main-README.md.md,url_002929,gitlab.com,02_kicad_python_api,kicad_source_or_python,https://gitlab.com/kicad/code/kicad-python/-/blob/main/README.md
url_002930--gitlab.com-kicad-code-kicad-python-issues.md,url_002930,gitlab.com,02_kicad_python_api,kicad_source_or_python,https://gitlab.com/kicad/code/kicad-python/-/issues
url_002931--gitlab.com-kicad-code-kicad-python-tree-main.md,url_002931,gitlab.com,02_kicad_python_api,kicad_source_or_python,https://gitlab.com/kicad/code/kicad-python/-/tree/main
url_002932--gitlab.com-kicad-libraries.md,url_002932,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries
url_002933--gitlab.com-kicad-libraries-kicad-footprints.md,url_002933,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints
url_002934--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_1.md,url_002934,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_1
url_002935--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_10.md,url_002935,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_10
url_002936--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_11.md,url_002936,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_11
url_002937--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_12.md,url_002937,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_12
url_002938--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_2.md,url_002938,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_2
url_002939--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_3.md,url_002939,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_3
url_002940--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_4.md,url_002940,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_4
url_002941--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_5.md,url_002941,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_5
url_002942--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_6.md,url_002942,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_6
url_002943--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_7.md,url_002943,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_7
url_002944--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_8.md,url_002944,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_8
url_002945--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Battery-Battery_SMD_9.md,url_002945,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Battery/Battery_SMD_9
url_002946--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_1.md,url_002946,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_1
url_002947--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_10.md,url_002947,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_10
url_002948--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_11.md,url_002948,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_11
url_002949--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_12.md,url_002949,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_12
url_002950--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_2.md,url_002950,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_2
url_002951--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_3.md,url_002951,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_3
url_002952--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_4.md,url_002952,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_4
url_002953--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_5.md,url_002953,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_5
url_002954--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_6.md,url_002954,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_6
url_002955--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_7.md,url_002955,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_7
url_002956--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_8.md,url_002956,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_8
url_002957--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Capacitor-Capacitor_SMD_9.md,url_002957,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Capacitor/Capacitor_SMD_9
url_002958--gitlab.com-kicad-libraries-kicad-footprints-tree-master-Connector-Connector_01x01.md,url_002958,gitlab.com,04_kicad_libraries_symbols_footprints,gitlab_kicad_libraries,https://gitlab.com/kicad/libraries/kicad-footprints/-/tree/master/Connector/Connector_01x01
