"current_knowledge_file","url_index_ids","knowledge_category","raw_html_tag_count","content_quality"
"01_kicad_core\url_000722--docs.kicad.org-9.0-en-gerbview-gerbview.html.md","url_000722","01_kicad_core","15","medium"
"01_kicad_core\url_000727--docs.kicad.org-9.0-en-kicad-kicad.html.md","url_000727","01_kicad_core","9","medium"
"01_kicad_core\url_000732--docs.kicad.org-9.0-en-pl_editor-pl_editor.html.md","url_000732","01_kicad_core","70","medium"
"01_kicad_core\url_001060--docs.oshpark.com-design-tools-kicad.md","url_001060","01_kicad_core","1","medium"
"05_esp32_espressif\url_000041--docs.espressif.com-projects-esp-hardware-design-guidelines-en-latest-esp32s3-pcb-layout-design.html.md","url_000041","05_esp32_espressif","14","medium"
"05_esp32_espressif\url_000043--docs.espressif.com-projects-esp-hardware-design-guidelines-en-latest-esp32s3-schematic-checklist.html.md","url_000043","05_esp32_espressif","9","medium"
"05_esp32_espressif\url_008218--pcbway.com-blog-PCB_Design_Layout-USB_Type_C_PCB_Design_Guidelines_Layout_and_Routing_Best_Practices_55bc0c39..md","url_008218","05_esp32_espressif","1","medium"
"06_microcontrollers\url_000009--datasheets.raspberrypi.com-rp2350-rp2350-datasheet.pdf.pdf.md","url_000009","06_microcontrollers","7","medium"
"07_usb_c_high_speed_esd\url_004526--jlcpcb.com-blog-pcb-design-rules-best-practices.md","url_004526","07_usb_c_high_speed_esd","14","medium"
"09_pcb_layout_grounding_emi_si\url_004544--jlcpcb.com-help-article-pcb-via-covering.md","url_004544","09_pcb_layout_grounding_emi_si","83","medium"
"09_pcb_layout_grounding_emi_si\url_006903--eurocircuits.com-technical-guidelines-pcb-design-guidelines.md","url_006903","09_pcb_layout_grounding_emi_si","38","medium"
"10_dfm_fabrication_assembly\url_001059--docs.oshpark.com-design-tools-gerbv.md","url_001059","10_dfm_fabrication_assembly","1","medium"
"10_dfm_fabrication_assembly\url_004527--jlcpcb.com-capabilities-pcb-capabilities.md","url_004527","10_dfm_fabrication_assembly","8","medium"
"10_dfm_fabrication_assembly\url_008219--pcbway.com-capabilities.html.md","url_008219","10_dfm_fabrication_assembly","1147","medium"
"10_dfm_fabrication_assembly\url_008232--pcbway.com-pcb_prototype-PCB_Design_Rule_Check.html.md","url_008232","10_dfm_fabrication_assembly","21","medium"
"11_calculators_ipc_reference\url_001063--docs.oshpark.com-services-four-layer.md","url_001063","11_calculators_ipc_reference","186","medium"
