"id","original_url","normalized_url","source_domain","source_list_file","source_list_row","scraped_status","http_error_if_known","error_message_if_known","source_scraped_file","current_knowledge_file","source_file_type","detected_category","source_of_truth_level","trust_label","content_quality","needs_future_rescrape","rescrape_reason","imported_at","last_scraped_at","duplicate_group_id","notes"
"url_000001","https://academy.altium.com/","https://academy.altium.com/","academy.altium.com","url2.txt","url2.txt:461","failed",,"The remote name could not be resolved: 'academy.altium.com'",,,"unknown","90_unsorted_review","8_low_value_index_or_search","low_value","unknown","true","dns_failure","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000002","https://academy.altium.com/courses","https://academy.altium.com/courses","academy.altium.com","url2.txt","url2.txt:462","failed",,"The remote name could not be resolved: 'academy.altium.com'",,,"unknown","90_unsorted_review","8_low_value_index_or_search","low_value","unknown","true","dns_failure","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000006","https://community.element14.com/products/pcbprototyping/","https://community.element14.com/products/pcbprototyping","community.element14.com","url2.txt","url2.txt:405","failed",,"The operation has timed out.",,,"unknown","90_unsorted_review","8_low_value_index_or_search","low_value","unknown","true","timeout","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000007","https://componentsearchengine.com/","https://componentsearchengine.com/","componentsearchengine.com","url2.txt","url2.txt:583","failed","403","The remote server returned an error: (403) Forbidden.",,,"unknown","13_vendor_parts_cad_models","8_low_value_index_or_search","low_value","unknown","true","http_403","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000028","https://docs.espressif.com/projects/esp-dev-kits/en/latest/esp32s3/esp32-s3-devkitc-1/user_guide.html","https://docs.espressif.com/projects/esp-dev-kits/en/latest/esp32s3/esp32-s3-devkitc-1/user_guide.html","docs.espressif.com","url2.txt","url2.txt:80","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","05_esp32_espressif","8_low_value_index_or_search","low_value","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000038","https://docs.espressif.com/projects/esp-hardware-design-guidelines/en/latest/esp32s3/disclaimer-and-copyright-notice.html","https://docs.espressif.com/projects/esp-hardware-design-guidelines/en/latest/esp32s3/disclaimer-and-copyright-notice.html","docs.espressif.com","url2.txt","url2.txt:53","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","05_esp32_espressif","2_official_manufacturer_app_note","official_reference","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000053","https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/api-guides/ble.html","https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/api-guides/ble.html","docs.espressif.com","url2.txt","url2.txt:76","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","05_esp32_espressif","8_low_value_index_or_search","low_value","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000054","https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/api-guides/boot-mode-selection.html","https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/api-guides/boot-mode-selection.html","docs.espressif.com","url2.txt","url2.txt:71","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","05_esp32_espressif","8_low_value_index_or_search","low_value","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000058","https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/api-guides/rf-calibration.html","https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/api-guides/rf-calibration.html","docs.espressif.com","url2.txt","url2.txt:74","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","05_esp32_espressif","8_low_value_index_or_search","low_value","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000073","https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/hw-reference/esp32s3/user-guide-usb-otg.html","https://docs.espressif.com/projects/esp-idf/en/latest/esp32s3/hw-reference/esp32s3/user-guide-usb-otg.html","docs.espressif.com","url2.txt","url2.txt:79","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","05_esp32_espressif","2_official_manufacturer_app_note","official_reference","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T00:22:18",,
"url_000078","https://docs.kicad.org/10.0/de/calculator-tools.html","https://docs.kicad.org/10.0/de/calculator-tools.html","docs.kicad.org","urls.txt","urls.txt:2","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000079","https://docs.kicad.org/10.0/de/drawing-sheet-editor.html","https://docs.kicad.org/10.0/de/drawing-sheet-editor.html","docs.kicad.org","urls.txt","urls.txt:3","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000080","https://docs.kicad.org/10.0/de/gerber-viewer.html","https://docs.kicad.org/10.0/de/gerber-viewer.html","docs.kicad.org","urls.txt","urls.txt:4","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000081","https://docs.kicad.org/10.0/de/getting-started-in-kicad.html","https://docs.kicad.org/10.0/de/getting-started-in-kicad.html","docs.kicad.org","urls.txt","urls.txt:5","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000082","https://docs.kicad.org/10.0/de/introduction.html","https://docs.kicad.org/10.0/de/introduction.html","docs.kicad.org","urls.txt","urls.txt:6","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000083","https://docs.kicad.org/10.0/de/kicad.html","https://docs.kicad.org/10.0/de/kicad.html","docs.kicad.org","urls.txt","urls.txt:8","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000084","https://docs.kicad.org/10.0/de/kicad-cli.html","https://docs.kicad.org/10.0/de/kicad-cli.html","docs.kicad.org","urls.txt","urls.txt:7","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000085","https://docs.kicad.org/10.0/de/pcb-editor.html","https://docs.kicad.org/10.0/de/pcb-editor.html","docs.kicad.org","urls.txt","urls.txt:9","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000086","https://docs.kicad.org/10.0/de/schematic-editor.html","https://docs.kicad.org/10.0/de/schematic-editor.html","docs.kicad.org","urls.txt","urls.txt:10","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000087","https://docs.kicad.org/10.0/en/calculator-tools.html","https://docs.kicad.org/10.0/en/calculator-tools.html","docs.kicad.org","urls.txt","urls.txt:11","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000088","https://docs.kicad.org/10.0/en/drawing-sheet-editor.html","https://docs.kicad.org/10.0/en/drawing-sheet-editor.html","docs.kicad.org","urls.txt","urls.txt:12","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000089","https://docs.kicad.org/10.0/en/gerber-viewer.html","https://docs.kicad.org/10.0/en/gerber-viewer.html","docs.kicad.org","urls.txt","urls.txt:13","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000090","https://docs.kicad.org/10.0/en/getting-started-in-kicad.html","https://docs.kicad.org/10.0/en/getting-started-in-kicad.html","docs.kicad.org","urls.txt","urls.txt:14","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000091","https://docs.kicad.org/10.0/en/introduction.html","https://docs.kicad.org/10.0/en/introduction.html","docs.kicad.org","urls.txt","urls.txt:15","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000092","https://docs.kicad.org/10.0/en/kicad.html","https://docs.kicad.org/10.0/en/kicad.html","docs.kicad.org","urls.txt","urls.txt:17","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000093","https://docs.kicad.org/10.0/en/kicad-cli.html","https://docs.kicad.org/10.0/en/kicad-cli.html","docs.kicad.org","urls.txt","urls.txt:16","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000094","https://docs.kicad.org/10.0/en/pcb-editor.html","https://docs.kicad.org/10.0/en/pcb-editor.html","docs.kicad.org","urls.txt","urls.txt:18","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000095","https://docs.kicad.org/10.0/en/schematic-editor.html","https://docs.kicad.org/10.0/en/schematic-editor.html","docs.kicad.org","urls.txt","urls.txt:19","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
"url_000096","https://docs.kicad.org/10.0/es/calculator-tools.html","https://docs.kicad.org/10.0/es/calculator-tools.html","docs.kicad.org","urls.txt","urls.txt:20","failed","404","The remote server returned an error: (404) Not Found.",,,"unknown","01_kicad_core","3_official_kicad_docs","official_docs","unknown","true","http_404","2026-05-10T09:01:13","2026-05-10T07:53:54",,
