net,copper_present
+3V3,YES
/+5V_FUSED,YES
/+5V_IN,YES
/+5V_PROTECTED,YES
/BOOT0,NO
/BUCK_BST,YES
/BUCK_SW,YES
/CC1,NO
/CC2,NO
/DM_C,NO
/DM_E,NO
/DP_C,NO
/DP_E,NO
/ESP_EN,NO
/PLED,YES
/SHIELD,NO
/SLED,YES
/STATUS_LED,YES
/U0RXD,NO
/U0TXD,YES
GND,YES
unconnected-(J2-VBUS-PadA4),YES
unconnected-(U2-IO1-Pad39),NO
unconnected-(U2-IO3-Pad15),NO
unconnected-(U2-IO4-Pad4),NO
unconnected-(U2-IO5-Pad5),NO
unconnected-(U2-IO6-Pad6),NO
unconnected-(U2-IO7-Pad7),NO
unconnected-(U2-IO8-Pad12),NO
unconnected-(U2-IO9-Pad17),NO
unconnected-(U2-IO10-Pad18),NO
unconnected-(U2-IO11-Pad19),NO
unconnected-(U2-IO12-Pad20),NO
unconnected-(U2-IO13-Pad21),NO
unconnected-(U2-IO14-Pad22),NO
unconnected-(U2-IO15-Pad8),NO
unconnected-(U2-IO16-Pad9),NO
unconnected-(U2-IO17-Pad10),NO
unconnected-(U2-IO18-Pad11),NO
unconnected-(U2-IO21-Pad23),NO
unconnected-(U2-IO35-Pad28),NO
unconnected-(U2-IO36-Pad29),NO
unconnected-(U2-IO37-Pad30),NO
unconnected-(U2-IO38-Pad31),NO
unconnected-(U2-IO39-Pad32),NO
unconnected-(U2-IO40-Pad33),NO
unconnected-(U2-IO41-Pad34),NO
unconnected-(U2-IO42-Pad35),NO
unconnected-(U2-IO45-Pad26),NO
unconnected-(U2-IO46-Pad16),NO
unconnected-(U2-IO47-Pad24),NO
unconnected-(U2-IO48-Pad25),NO
