source_file,referenced_path,exists_yes_no,fix_needed
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,00_CODEX_START\CURRENT_PROJECT.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,00_CODEX_START\PROJECT_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,01_MEMORY\projects\PROJECT_NAME,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,01_MEMORY\projects\PROJECT_NAME`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,02_HISTORY\project_history\PROJECT_NAME,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,02_HISTORY\project_history\PROJECT_NAME`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,03_TOOLS\scripts\new_kicad_project_workspace.ps1`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,04_KICAD_PROJECTS\active\PROJECT_NAME,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,04_KICAD_PROJECTS\active\PROJECT_NAME`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,04_KICAD_PROJECTS\active`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,04_KICAD_PROJECTS\templates\REAL_PROJECT_REQUIREMENTS_TEMPLATE.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,C:\Users\LJ\KICAD_ENGINE\00_CODEX_START`,no,Absolute Windows path does not exist here or is stale; replace with repo-relative path or mark as example.
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,C:\Users\LJ\KICAD_ENGINE\AGENTS.md`,no,Absolute Windows path does not exist here or is stale; replace with repo-relative path or mark as example.
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,C:\Users\LJ\KICAD_ENGINE`,no,Absolute Windows path does not exist here or is stale; replace with repo-relative path or mark as example.
.codex/prompts/INSTALL_KICAD_TOOLS.md,00_CODEX_START/`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/INSTALL_KICAD_TOOLS.md,00_CODEX_START\TOOL_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/INSTALL_KICAD_TOOLS.md,02_HISTORY\command_logs\`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/INSTALL_KICAD_TOOLS.md,03_TOOLS\node_envs\`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/INSTALL_KICAD_TOOLS.md,03_TOOLS\python_envs\`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/INSTALL_KICAD_TOOLS.md,03_TOOLS\repos`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/INSTALL_KICAD_TOOLS.md,TOOL_INDEX.md,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,00_CODEX_START/`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,00_CODEX_START\CURRENT_PROJECT.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,00_CODEX_START\PROJECT_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,01_MEMORY\projects\PROJECT_NAME,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,01_MEMORY\projects\PROJECT_NAME\PROJECT_MEMORY.md,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,01_MEMORY\projects\PROJECT_NAME\PROJECT_MEMORY.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,01_MEMORY\projects\PROJECT_NAME`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,02_HISTORY\project_history\PROJECT_NAME,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,02_HISTORY\project_history\PROJECT_NAME`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,04_KICAD_PROJECTS\active\PROJECT_NAME,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,04_KICAD_PROJECTS\active\PROJECT_NAME\AGENTS.md,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,04_KICAD_PROJECTS\active\PROJECT_NAME\AGENTS.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,04_KICAD_PROJECTS\active\PROJECT_NAME\README.md,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,04_KICAD_PROJECTS\active\PROJECT_NAME\README.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/NEW_KICAD_PROJECT.md,04_KICAD_PROJECTS\active\PROJECT_NAME`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/REVIEW_EXISTING_PROJECT.md,"- Symbol libraries
- Footprint libraries
- Datasheets
- BOM files
- Reports
- Manufacturing outputs
- Renders or visual references
- Project notes",no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/REVIEW_EXISTING_PROJECT.md,00_CODEX_START/`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/REVIEW_EXISTING_PROJECT.md,02_HISTORY\design_reviews\`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/CURRENT_PROJECT.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/HISTORY_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/MEMORY_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/PROJECT_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/REPO_MAP.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/SAFETY_RULES.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/SESSION_START_CHECKLIST.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/START_HERE.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/TOOL_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/WORKFLOW_RULES.md`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,00_CODEX_START/`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,01_MEMORY/`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/START_CODEX_KICAD_ENGINE.md,02_HISTORY/`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/VERIFY_BEFORE_FAB.md,00_CODEX_START/`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/VERIFY_BEFORE_FAB.md,02_HISTORY\erc_drc_reports\`,no,"Create referenced file, fix path, or remove stale reference."
.codex/prompts/VERIFY_BEFORE_FAB.md,02_HISTORY\fabrication_reviews\`,no,"Create referenced file, fix path, or remove stale reference."
.github/RELEASE_WORKFLOW_README.md,build-all-installers.yml,no,"Create referenced file, fix path, or remove stale reference."
.github/RELEASE_WORKFLOW_README.md,build-installer-linux.yml,no,"Create referenced file, fix path, or remove stale reference."
.github/RELEASE_WORKFLOW_README.md,build-installer-macos.yml,no,"Create referenced file, fix path, or remove stale reference."
.github/RELEASE_WORKFLOW_README.md,build-installer-windows.yml,no,"Create referenced file, fix path, or remove stale reference."
.github/RELEASE_WORKFLOW_README.md,release-draft.yml,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/CONTROL_PLANES.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/CURRENT_PROJECT.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/HISTORY_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/MEMORY_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/PROJECT_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/REPO_MAP.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/SAFETY_RULES.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/SESSION_START_CHECKLIST.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/START_HERE.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/TOOL_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,00_CODEX_START/WORKFLOW_RULES.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,02_HISTORY/`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/00_START_SESSION.md,C:\Users\LJ\GitHub\KICAD_ENGINE`,no,Absolute Windows path does not exist here or is stale; replace with repo-relative path or mark as example.
.prompts/claude/00_START_SESSION.md,CURRENT_PROJECT.md,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,00_CODEX_START/CONTROL_PLANES.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,00_CODEX_START/KICAD_AGENT_OPERATING_MANUAL.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,00_CODEX_START/SAFETY_RULES.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,00_CODEX_START/START_HERE.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,02_HISTORY/`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,03_TOOLS/kicad_app_intelligence/KICAD_9_WINDOWS_PATH_MAP.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,03_TOOLS/kicad_app_intelligence/KICAD_DO_NOT_TOUCH_RULES.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,03_TOOLS/kicad_app_intelligence/`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,C:\Program,no,Absolute Windows path does not exist here or is stale; replace with repo-relative path or mark as example.
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,C:\Users\LJ\GitHub\KICAD_ENGINE`,no,Absolute Windows path does not exist here or is stale; replace with repo-relative path or mark as example.
.prompts/claude/01_AUDIT_KICAD_INSTALL.md,and/or,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,00_CODEX_START/CURRENT_PROJECT.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,00_CODEX_START/KICAD_AGENT_OPERATING_MANUAL.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,00_CODEX_START/PROJECT_INDEX.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,00_CODEX_START/SAFETY_RULES.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,00_CODEX_START/START_HERE.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,00_CODEX_START/WORKFLOW_RULES.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,01_MEMORY/`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,02_HISTORY/`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,04_KICAD_PROJECTS/active/`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/02_CREATE_NEW_PROJECT_WORKSPACE.md,C:\Users\LJ\GitHub\KICAD_ENGINE`,no,Absolute Windows path does not exist here or is stale; replace with repo-relative path or mark as example.
.prompts/claude/03_RESEARCH_COMPONENT.md,00_CODEX_START/START_HERE.md`,no,"Create referenced file, fix path, or remove stale reference."
.prompts/claude/03_RESEARCH_COMPONENT.md,02_HISTORY/`,no,"Create referenced file, fix path, or remove stale reference."
