file_path,issue_type,severity,why_it_is_weak,required_fix
.codex/prompts/CREATE_REAL_KICAD_PROJECT_FROM_REQUIREMENTS.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
.codex/prompts/NEW_KICAD_PROJECT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
.prompts/README.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
.prompts/codex/02_CREATE_NEW_PROJECT_WORKSPACE.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
.prompts/codex/03_RESEARCH_COMPONENT.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
.prompts/codex/04_ADD_COMPONENT_TO_DATABASE.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
.prompts/codex/05_PLAN_SCHEMATIC.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
.vscode/tasks.json,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
00_CODEX_START/HISTORY_INDEX.generated.json,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
00_CODEX_START/HISTORY_INDEX.generated.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
00_CODEX_START/HISTORY_INDEX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
00_CODEX_START/MEMORY_INDEX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
00_CODEX_START/SESSION_START_CHECKLIST.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
00_CODEX_START/TOOL_INDEX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
00_CODEX_START/WORKFLOW_RULES.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
02_HISTORY/MASTER_HISTORY_INDEX.md,UNEXPANDED_TEMPLATE_VARIABLE,HIGH,File contains boilerplate or unresolved template language that reduces agent usefulness.,Replace with specific instructions/data or move to templates/examples.
