"batch","vendor","family","part_number","category","source_url","source_type","required_outputs","preferred_sources","priority","verification_status","footprint_match_status","package_drawing_status","supplier","supplier_sku","human_review_required","notes"
"batch_001_esp32","Espressif","ESP32","ESP32-WROOM-32","module","https://www.espressif.com/en/products/modules","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","espressif;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact module revision, antenna keepout, and footprint drawing remain UNVERIFIED."
"batch_001_esp32","Espressif","ESP32","ESP32-WROVER","module","https://www.espressif.com/en/products/modules","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","espressif;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact module variant and footprint drawing remain UNVERIFIED."
"batch_001_esp32","Espressif","ESP32-S3","ESP32-S3-WROOM-1","module","https://www.espressif.com/en/products/modules/esp32-s3-wroom-1","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","espressif;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; module footprint and keepout remain UNVERIFIED."
"batch_001_esp32","Espressif","ESP32-S3","ESP32-S3-WROOM-1U","module","https://www.espressif.com/en/products/modules/esp32-s3-wroom-1","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","espressif;kicad_official_libraries","high","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; external antenna connector/mechanical details remain UNVERIFIED."
"batch_001_esp32","Espressif","ESP32-S3","ESP32-S3-MINI-1","module","https://www.espressif.com/en/products/modules","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","espressif;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact footprint and keepout remain UNVERIFIED."
"batch_001_esp32","Espressif","ESP32-C3","ESP32-C3-MINI-1","module","https://www.espressif.com/en/products/modules","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","espressif;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact footprint and keepout remain UNVERIFIED."
"batch_001_esp32","Espressif","ESP32-C6","ESP32-C6-WROOM-1","module","https://www.espressif.com/en/products/modules","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","espressif;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact footprint and keepout remain UNVERIFIED."
"batch_001_esp32","Espressif","ESP32-H2","ESP32-H2-MINI-1","module","https://www.espressif.com/en/products/modules","SOURCE_LINK_ONLY_DRY_RUN","normalized_part;datasheet_link;footprint_candidates;source_evidence","espressif;kicad_official_libraries","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; exact footprint and keepout remain UNVERIFIED."
"batch_001_esp32","Espressif","ESP32-S3","ESP32-S3-DevKitC-1","dev_board","https://docs.espressif.com/projects/esp-dev-kits/en/latest/","SOURCE_LINK_ONLY_DRY_RUN","dev_board_record;schematic_link;source_evidence","espressif","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
"batch_001_esp32","Espressif","ESP32-C3","ESP32-C3-DevKitM-1","dev_board","https://docs.espressif.com/projects/esp-dev-kits/en/latest/","SOURCE_LINK_ONLY_DRY_RUN","dev_board_record;schematic_link;source_evidence","espressif","medium","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNKNOWN","UNKNOWN","True","SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
