vendor,family,part_number,document_type,title,source_url,local_folder,redistribution_status,verification_status,notes
STMicroelectronics,ALL_STM32,ALL_STM32,portfolio_page,STM32 32-bit Arm Cortex MCUs official portfolio,https://www.st.com/en/microcontrollers-microprocessors/stm32-32-bit-arm-cortex-mcus.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST portfolio starting point. Use exact product pages for part-level work.
STMicroelectronics,ALL_STM32,ALL_STM32,application_note,AN2606 STM32 microcontroller system memory boot mode,https://www.st.com/resource/en/application_note/an2606-stm32-microcontroller-system-memory-boot-mode-stmicroelectronics.pdf,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/DESIGN_GUIDES,LINK_ONLY_DO_NOT_BUNDLE_PDF,OFFICIAL_SOURCE_LINK,Official ST bootloader/boot-mode reference. Link only; do not bundle PDF unless redistribution is reviewed.
STMicroelectronics,ALL_STM32,ALL_STM32,application_note,AN2867 oscillator design guide for STM8AF/STM8AL/S and STM32 MCUs and MPUs,https://www.st.com/resource/en/application_note/an2867-oscillator-design-guide-for-stm8afals-stm32-mcus-and-mpus-stmicroelectronics.pdf,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/DESIGN_GUIDES,LINK_ONLY_DO_NOT_BUNDLE_PDF,OFFICIAL_SOURCE_LINK,Official ST oscillator/crystal guidance. Verify selected crystal and board layout separately.
STMicroelectronics,ALL_STM32,ALL_STM32,application_note,AN4879 introduction to USB hardware and PCB guidelines using STM32 MCUs,https://www.st.com/resource/en/application_note/an4879-introduction-to-usb-hardware-and-pcb-guidelines-using-stm32-mcus-stmicroelectronics.pdf,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/DESIGN_GUIDES,LINK_ONLY_DO_NOT_BUNDLE_PDF,OFFICIAL_SOURCE_LINK,Official ST USB hardware/layout guidance. Use only when exact part supports required USB function.
STMicroelectronics,ALL_STM32,ST-LINK,debug_programming_hub,STM32 programming and hardware development tools,https://www.st.com/en/development-tools/hardware-debugger-and-programmer-tools-for-stm32.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/PROGRAMMING_DEBUG_STLINK,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST hardware debug/programming tools page.
STMicroelectronics,ALL_STM32,STM32CubeMX,planning_tool,STM32CubeMX official configuration and code-generation tool,https://www.st.com/en/development-tools/stm32cubemx.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/DESIGN_GUIDES,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Use as planning aid only. It does not replace datasheet/reference-manual verification.
STMicroelectronics,STM32F0,STM32F0,family_page,STM32F0 official family page,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,OFFICIAL_SOURCE_LINK,Official ST family landing page.
STMicroelectronics,STM32F0,STM32F0,datasheet_index,STM32F0 datasheet index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact datasheet links must be selected per part/order code.
STMicroelectronics,STM32F0,STM32F0,reference_manual_index,STM32F0 reference manual index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact reference manual links must be selected per subfamily/part.
STMicroelectronics,STM32F0,STM32F0,errata_index,STM32F0 errata index via official family documentation,https://www.st.com/en/microcontrollers-microprocessors/stm32f0-series.html,06_DATASHEETS/01_MICROCONTROLLERS/STMICRO_STM32/STM32F0,PUBLIC_LINK_ONLY,NEEDS_REVIEW,Exact errata sheet must be selected per part/subfamily.
