vendor,family,part_number,category,search_terms,preferred_sources,required_outputs,priority,source_url,notes
Espressif,ESP32,ESP32-WROOM-32,module,"ESP32-WROOM-32 official module page datasheet footprint KiCad","espressif;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.espressif.com/en/products/modules,"SOURCE_LINK_ONLY candidate; exact module revision, antenna keepout, and footprint drawing remain UNVERIFIED."
Espressif,ESP32,ESP32-WROVER,module,"ESP32-WROVER official module page datasheet footprint KiCad","espressif;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.espressif.com/en/products/modules,"SOURCE_LINK_ONLY candidate; exact module variant and footprint drawing remain UNVERIFIED."
Espressif,ESP32-S3,ESP32-S3-WROOM-1,module,"ESP32-S3-WROOM-1 official module page datasheet footprint KiCad","espressif;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.espressif.com/en/products/modules/esp32-s3-wroom-1,"SOURCE_LINK_ONLY candidate; module footprint and keepout remain UNVERIFIED."
Espressif,ESP32-S3,ESP32-S3-WROOM-1U,module,"ESP32-S3-WROOM-1U official module page datasheet footprint KiCad","espressif;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.espressif.com/en/products/modules/esp32-s3-wroom-1,"SOURCE_LINK_ONLY candidate; external antenna connector/mechanical details remain UNVERIFIED."
Espressif,ESP32-S3,ESP32-S3-MINI-1,module,"ESP32-S3-MINI-1 official module page datasheet footprint KiCad","espressif;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.espressif.com/en/products/modules,"SOURCE_LINK_ONLY candidate; exact footprint and keepout remain UNVERIFIED."
Espressif,ESP32-C3,ESP32-C3-MINI-1,module,"ESP32-C3-MINI-1 official module page datasheet footprint KiCad","espressif;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.espressif.com/en/products/modules,"SOURCE_LINK_ONLY candidate; exact footprint and keepout remain UNVERIFIED."
Espressif,ESP32-C6,ESP32-C6-WROOM-1,module,"ESP32-C6-WROOM-1 official module page datasheet footprint KiCad","espressif;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.espressif.com/en/products/modules,"SOURCE_LINK_ONLY candidate; exact footprint and keepout remain UNVERIFIED."
Espressif,ESP32-H2,ESP32-H2-MINI-1,module,"ESP32-H2-MINI-1 official module page datasheet footprint KiCad","espressif;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.espressif.com/en/products/modules,"SOURCE_LINK_ONLY candidate; exact footprint and keepout remain UNVERIFIED."
Espressif,ESP32-S3,ESP32-S3-DevKitC-1,dev_board,"ESP32-S3-DevKitC-1 official dev kit schematic source","espressif","dev_board_record;schematic_link;source_evidence",medium,https://docs.espressif.com/projects/esp-dev-kits/en/latest/,"SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
Espressif,ESP32-C3,ESP32-C3-DevKitM-1,dev_board,"ESP32-C3-DevKitM-1 official dev kit schematic source","espressif","dev_board_record;schematic_link;source_evidence",medium,https://docs.espressif.com/projects/esp-dev-kits/en/latest/,"SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
