vendor,family,part_number,category,search_terms,preferred_sources,required_outputs,priority,source_url,notes
STMicro,STM32F1,STM32F103C8T6,microcontroller,"STM32F103C8T6 official product page datasheet package KiCad footprint","stmicro;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.st.com/en/microcontrollers-microprocessors/stm32f103c8.html,"SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
STMicro,STM32F4,STM32F401CCU6,microcontroller,"STM32F401CCU6 official product page datasheet package KiCad footprint","stmicro;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.st.com/en/microcontrollers-microprocessors/stm32f401cc.html,"SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
STMicro,STM32F4,STM32F411CEU6,microcontroller,"STM32F411CEU6 official product page datasheet package KiCad footprint","stmicro;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.st.com/en/microcontrollers-microprocessors/stm32f411ce.html,"SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
STMicro,STM32F4,STM32F405RGT6,microcontroller,"STM32F405RGT6 official product page datasheet package KiCad footprint","stmicro;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.st.com/en/microcontrollers-microprocessors/stm32f405rg.html,"SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
STMicro,STM32G0,STM32G030F6P6,microcontroller,"STM32G030F6P6 official product page datasheet package KiCad footprint","stmicro;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.st.com/en/microcontrollers-microprocessors/stm32g030f6.html,"SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
STMicro,STM32G4,STM32G431CBT6,microcontroller,"STM32G431CBT6 official product page datasheet package KiCad footprint","stmicro;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.st.com/en/microcontrollers-microprocessors/stm32g431cb.html,"SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
STMicro,STM32H7,STM32H743VIT6,microcontroller,"STM32H743VIT6 official product page datasheet package KiCad footprint","stmicro;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.st.com/en/microcontrollers-microprocessors/stm32h743vi.html,"SOURCE_LINK_ONLY candidate; exact package drawing and footprint remain UNVERIFIED."
STMicro,STM32U5,STM32U5 representative,microcontroller,"STM32U5 official product selector datasheet package KiCad footprint","stmicro;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.st.com/en/microcontrollers-microprocessors/stm32u5-series.html,"SOURCE_LINK_ONLY family-level target; exact part must be selected before footprint review."
STMicro,NUCLEO,NUCLEO-F103RB,dev_board,"NUCLEO-F103RB official board page schematic user manual","stmicro","dev_board_record;schematic_link;source_evidence",medium,https://www.st.com/en/evaluation-tools/nucleo-f103rb.html,"SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
STMicro,NUCLEO,NUCLEO-F401RE,dev_board,"NUCLEO-F401RE official board page schematic user manual","stmicro","dev_board_record;schematic_link;source_evidence",medium,https://www.st.com/en/evaluation-tools/nucleo-f401re.html,"SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
STMicro,NUCLEO,NUCLEO-G431RB,dev_board,"NUCLEO-G431RB official board page schematic user manual","stmicro","dev_board_record;schematic_link;source_evidence",medium,https://www.st.com/en/evaluation-tools/nucleo-g431rb.html,"SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
STMicro,NUCLEO,NUCLEO-H743ZI,dev_board,"NUCLEO-H743ZI official board page schematic user manual","stmicro","dev_board_record;schematic_link;source_evidence",medium,https://www.st.com/en/evaluation-tools/nucleo-h743zi.html,"SOURCE_LINK_ONLY candidate; board schematic/license and revision remain UNVERIFIED."
