vendor,family,part_number,category,search_terms,preferred_sources,required_outputs,priority,source_url,notes
Microchip,PIC16,PIC16F877A,microcontroller,"PIC16F877A official product page datasheet package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.microchip.com/en-us/product/PIC16F877A,"SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
Microchip,PIC16,PIC16F18346,microcontroller,"PIC16F18346 official product page datasheet package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.microchip.com/en-us/product/PIC16F18346,"SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
Microchip,PIC18,PIC18F4550,microcontroller,"PIC18F4550 official product page datasheet USB package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.microchip.com/en-us/product/PIC18F4550,"SOURCE_LINK_ONLY candidate; USB and package details remain UNVERIFIED."
Microchip,PIC18,PIC18F25K80,microcontroller,"PIC18F25K80 official product page datasheet CAN package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.microchip.com/en-us/product/PIC18F25K80,"SOURCE_LINK_ONLY candidate; CAN and package details remain UNVERIFIED."
Microchip,PIC24,PIC24FJ64GA002,microcontroller,"PIC24FJ64GA002 official product page datasheet package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.microchip.com/en-us/product/PIC24FJ64GA002,"SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
Microchip,dsPIC33,dsPIC33CK256MP506,microcontroller,"dsPIC33CK256MP506 official product page datasheet package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.microchip.com/en-us/product/dsPIC33CK256MP506,"SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
Microchip,AVR,ATmega328P,microcontroller,"ATmega328P official product page datasheet package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.microchip.com/en-us/product/ATmega328P,"SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
Microchip,AVR,ATtiny85,microcontroller,"ATtiny85 official product page datasheet package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.microchip.com/en-us/product/ATtiny85,"SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
Microchip,AVR,ATmega32U4,microcontroller,"ATmega32U4 official product page datasheet USB package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.microchip.com/en-us/product/ATmega32U4,"SOURCE_LINK_ONLY candidate; USB and package details remain UNVERIFIED."
Microchip,Curiosity,Curiosity Development Boards,dev_board,"Microchip Curiosity development boards official source schematic","microchip","dev_board_record;schematic_link;source_evidence",medium,https://www.microchip.com/en-us/tools-resources/evaluation-boards/curiosity-development-boards,"SOURCE_LINK_ONLY family target; exact board revision must be selected."
