vendor,family,part_number,category,search_terms,preferred_sources,required_outputs,priority,source_url,notes
Diodes Inc,AP63203,AP63203,power_regulator,"AP63203 official product page datasheet package KiCad footprint","manufacturer_official;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.diodes.com/part/view/AP63203,"SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
Texas Instruments,LM2596,LM2596,power_regulator,"LM2596 official product page datasheet package KiCad footprint","ti;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.ti.com/product/LM2596,"SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
Monolithic Power Systems,MP1584,MP1584,power_regulator,"MP1584 official product page datasheet package KiCad footprint","manufacturer_official;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.monolithicpower.com/en/mp1584.html,"SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
Advanced Monolithic Systems,AMS1117-3.3,AMS1117-3.3,ldo,"AMS1117-3.3 official source datasheet package KiCad footprint","manufacturer_official;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.advanced-monolithic.com/,"SOURCE_LINK_ONLY portal target; exact source, package, and footprint remain UNVERIFIED."
Diodes Inc,AP2112,AP2112K-3.3,ldo,"AP2112K-3.3 official product page datasheet package KiCad footprint","manufacturer_official;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.diodes.com/part/view/AP2112,"SOURCE_LINK_ONLY candidate; exact suffix/package and footprint remain UNVERIFIED."
Microchip,MCP1700,MCP1700,ldo,"MCP1700 official product page datasheet package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.microchip.com/en-us/product/MCP1700,"SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
Texas Instruments,TLV755P,TLV755P,ldo,"TLV755P official product page datasheet package KiCad footprint","ti;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.ti.com/product/TLV755P,"SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
Microchip,MIC5504,MIC5504,ldo,"MIC5504 official product page datasheet package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.microchip.com/en-us/product/MIC5504,"SOURCE_LINK_ONLY candidate; exact package and footprint remain UNVERIFIED."
Texas Instruments,TPS5430,TPS5430,power_regulator,"TPS5430 official product page datasheet package KiCad footprint","ti;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.ti.com/product/TPS5430,"SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
Texas Instruments,TPS62177,TPS62177,power_regulator,"TPS62177 official product page datasheet package KiCad footprint","ti;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.ti.com/product/TPS62177,"SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
Microchip,MCP73831,MCP73831,battery_charger,"MCP73831 official product page datasheet package KiCad footprint","microchip;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",medium,https://www.microchip.com/en-us/product/MCP73831,"SOURCE_LINK_ONLY candidate; exact package/layout/footprint remain UNVERIFIED."
STMicroelectronics,USBLC6,USBLC6-2SC6,usb_esd,"USBLC6-2SC6 official product page datasheet package KiCad footprint","stmicro;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.st.com/en/protection-devices/usblc6-2.html,"SOURCE_LINK_ONLY candidate; ESD array pinout/package/footprint remain UNVERIFIED."
Texas Instruments,TPD2EUSB30,TPD2EUSB30ADRTR,usb_esd,"TPD2EUSB30ADRTR official product page datasheet package KiCad footprint","ti;kicad_official_libraries","normalized_part;datasheet_link;footprint_candidates;source_evidence",high,https://www.ti.com/product/TPD2EUSB30,"SOURCE_LINK_ONLY candidate; ESD array pinout/package/footprint remain UNVERIFIED."
Generic,Protection,resettable polyfuse generic,protection,"resettable polyfuse official manufacturer selection guide package KiCad footprint","manufacturer_official;kicad_official_libraries","part_candidates;datasheet_link;footprint_candidates;source_evidence",medium,https://www.littelfuse.com/products/polyswitch-resettable-pptcs.aspx,"Generic target; exact manufacturer part and footprint drawing required."
Generic,Protection,SMAJ TVS diode generic,protection,"SMAJ TVS diode official manufacturer selection guide package KiCad footprint","manufacturer_official;kicad_official_libraries","part_candidates;datasheet_link;footprint_candidates;source_evidence",medium,https://www.littelfuse.com/products/tvs-diodes.aspx,"Generic target; exact manufacturer part and footprint drawing required."
